Airline,Type of Traveller,Month Flown,Seat Comfort,Staff Service,Food & Beverages,Inflight Entertainment,Value For Money,Overall Rating
Singapore Airlines,Solo Leisure,December 2023,4,4,4,4,4,4.555555555555555
Singapore Airlines,Solo Leisure,February 2024,5,3,4,4,1,1.8888888888888888
Singapore Airlines,Family Leisure,February 2024,1,5,2,1,5,5.0
Singapore Airlines,Solo Leisure,February 2024,5,5,5,5,5,5.0
Singapore Airlines,Family Leisure,February 2024,5,5,5,5,5,5.0
Singapore Airlines,Solo Leisure,February 2024,5,1,5,5,1,1.8888888888888888
Singapore Airlines,Solo Leisure,February 2024,1,3,1,2,2,2.7777777777777777
Singapore Airlines,Family Leisure,February 2024,2,5,3,4,5,5.0
Singapore Airlines,Business,February 2024,5,4,5,5,3,2.333333333333333
Singapore Airlines,Family Leisure,February 2024,4,5,4,3,5,5.0
Singapore Airlines,Solo Leisure,February 2024,5,5,5,5,5,5.0
Singapore Airlines,Family Leisure,February 2024,5,5,5,5,4,5.0
Singapore Airlines,Solo Leisure,February 2024,4,5,5,5,5,5.0
Singapore Airlines,Solo Leisure,January 2024,5,1,5,5,3,1.4444444444444444
Singapore Airlines,Solo Leisure,January 2024,5,4,5,4,4,4.111111111111111
Singapore Airlines,Solo Leisure,December 2023,4,5,4,5,3,1.4444444444444444
Singapore Airlines,Solo Leisure,January 2024,4,5,5,5,5,5.0
Singapore Airlines,Solo Leisure,November 2023,5,1,5,5,5,5.0
Singapore Airlines,Couple Leisure,January 2024,1,1,1,1,1,1.4444444444444444
Singapore Airlines,Family Leisure,January 2024,1,5,2,3,1,1.0
Singapore Airlines,Solo Leisure,January 2024,3,5,5,4,5,4.555555555555555
Singapore Airlines,Couple Leisure,January 2024,5,5,5,5,5,5.0
Singapore Airlines,Family Leisure,December 2023,3,4,3,3,1,1.0
Singapore Airlines,Family Leisure,December 2023,3,5,1,1,1,1.0
Singapore Airlines,Solo Leisure,November 2023,3,4,1,3,3,3.666666666666666
Singapore Airlines,Business,December 2023,4,5,4,4,1,1.0
Singapore Airlines,Family Leisure,September 2023,3,1,3,4,3,4.111111111111111
Singapore Airlines,Couple Leisure,September 2023,3,5,1,4,2,1.0
Singapore Airlines,Solo Leisure,October 2023,4,5,4,2,3,3.2222222222222223
Singapore Airlines,Family Leisure,November 2023,4,4,3,3,1,1.0
Singapore Airlines,Couple Leisure,November 2023,4,1,3,5,4,4.555555555555555
Singapore Airlines,Couple Leisure,November 2023,1,5,5,4,4,4.555555555555555
Singapore Airlines,Couple Leisure,October 2023,5,3,1,3,2,2.333333333333333
Singapore Airlines,Solo Leisure,October 2023,2,1,4,5,5,5.0
